Jacquizz Rodgers,Atl,RB,149,76
Steve Johnson,Buf,WR,86,73
Darren McFadden,Oak,RB,39,71
Randall Cobb,GB,WR,36,71
Danny Amendola,NE,WR,49,70
Brandon Myers,NYG,TE,108,70
Texans D/ST,"",DEF,84,68
Andre Brown,NYG,RB,190,67
Kenbrell Thompkins,NE,WR,142,66
Julio Jones,Atl,WR,23,65
Roy Helu,Wsh,RB,173,65
Falcons D/ST,"",DEF,161,62
Reggie Wayne,Ind,WR,45,61
Jacoby Jones,Bal,WR,157,59
Jermaine Gresham,Cin,TE,151,58
Heath Miller,Pit,TE,138,56
Bernard Pierce,Bal,RB,129,55
Shonn Greene,Ten,RB,147,52
Santana Moss,Wsh,WR,165,51
Lance Moore,NO,WR,100,51
Andre Roberts,Ari,WR,192,51
Doug Martin,TB,RB,5,51
Chris Givens,StL,WR,117,50
Dallas Clark,Bal,TE,135,47
Vincent Brown,SD,WR,131,47
Jermichael Finley,GB,TE,104,46
Brandon Pettigrew,Det,TE,155,46
Justin Blackmon,Jac,WR,183,46
Bryce Brown,Phi,RB,118,46
Mark Ingram,NO,RB,97,45
Kyle Rudolph,Min,TE,75,45
Michael Bush,Chi,RB,174,42
Owen Daniels,Hou,TE,83,41
Darrius Heyward-Bey,Ind,WR,188,39
Sidney Rice,Sea,WR,90,36
Ronnie Hillman,Den,RB,177,32
Mike Williams,TB,WR,98,31
Ahmad Bradshaw,Ind,RB,72,31
Josh Freeman,Min,QB,158,28
Daryl Richardson,StL,RB,92,25
Miles Austin,Dal,WR,93,20
Malcom Floyd,SD,WR,160,14
David Wilson,NYG,RB,33,13
Fred Davis,Wsh,TE,153,11
Isaiah Pead,StL,RB,106,10
Dwayne Allen,Ind,TE,178,8
Vick Ballard,Ind,RB,99,6
Ryan Broyles,Det,WR,171,6
Christine Michael,Sea,RB,180,6
Kenny Britt,Ten,WR,109,5
Zach Sudfeld,NYJ,TE,143,5
Mikel Leshoure,Det,RB,194,0
Isaac Redman,Pit,RB,113,0
